Apr 15, 2016 2:00:16 AM org.apache.karaf.main.Main launch
INFORMATION: Installing and starting initial bundles
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.Main launch
INFORMATION: All initial bundles installed and set to start
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMATION: Trying to lock /srv/opencast/opencast-dist-allinone/data/lock
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMATION: Lock acquired
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFORMATION: Lock acquired. Setting startlevel to 100
2016-04-15 02:00:38,275 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.aries.jndi.api, id 77, version 1.1.0, build number n/a
2016-04-15 02:00:38,276 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.aries.jndi.core, id 78, version 1.0.2, build number n/a
2016-04-15 02:00:38,277 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.aries.jndi.rmi, id 79, version 1.0.0, build number n/a
2016-04-15 02:00:38,278 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.aries.jndi.url, id 80, version 1.1.0, build number n/a
2016-04-15 02:00:38,279 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.aries.jndi.legacy.support, id 81, version 1.0.0, build number n/a
2016-04-15 02:00:38,280 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.jndi.command, id 82, version 3.0.5, build number n/a
2016-04-15 02:00:38,282 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.aries.transaction.blueprint, id 83, version 1.0.2, build number n/a
2016-04-15 02:00:38,283 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.aries.transaction.manager, id 84, version 1.1.1, build number n/a
2016-04-15 02:00:38,284 | INFO  | (BundleInfoLogger:110) - Bundle javax.persistence, id 85, version 2.1.0.v201304241213, build number n/a
2016-04-15 02:00:38,285 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.aries.jpa.api, id 86, version 1.0.2, build number n/a
2016-04-15 02:00:38,286 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.aries.jpa.blueprint.aries, id 87, version 1.0.4, build number n/a
2016-04-15 02:00:38,287 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.aries.jpa.container, id 88, version 1.0.2, build number n/a
2016-04-15 02:00:38,288 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.aries.jpa.container.context, id 89, version 1.0.4, build number n/a
2016-04-15 02:00:38,292 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.aries.jpa.eclipselink.adapter, id 90, version 2.2.0, build number n/a
2016-04-15 02:00:38,295 | INFO  | (BundleInfoLogger:110) - Bundle org.eclipse.persistence.antlr, id 91, version 3.2.0.v201302191141, build number n/a
2016-04-15 02:00:38,298 | INFO  | (BundleInfoLogger:110) - Bundle org.eclipse.persistence.asm, id 92, version 5.0.1.v201405080102, build number n/a
2016-04-15 02:00:38,301 | INFO  | (BundleInfoLogger:110) - Bundle org.eclipse.persistence.core, id 93, version 2.6.0.v20150309-bf26070, build number n/a
2016-04-15 02:00:38,303 | INFO  | (BundleInfoLogger:110) - Bundle org.eclipse.persistence.jpa, id 94, version 2.6.0.v20150309-bf26070, build number n/a
2016-04-15 02:00:38,306 | INFO  | (BundleInfoLogger:110) - Bundle org.eclipse.persistence.jpa.jpql, id 95, version 2.6.0.v20150309-bf26070, build number n/a
2016-04-15 02:00:38,308 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.felix.webconsole.plugins.ds, id 96, version 1.0.0, build number n/a
2016-04-15 02:00:38,311 | INFO  | (BundleInfoLogger:110) - Bundle osgi.cmpn, id 97, version 4.2.0.200908310645, build number n/a
2016-04-15 02:00:38,314 | INFO  | (BundleInfoLogger:110) - Bundle osgi.enterprise, id 98, version 4.2.0.201003190513, build number n/a
2016-04-15 02:00:38,316 | INFO  | (BundleInfoLogger:110) - Bundle javax.el-api, id 99, version 3.0.0, build number n/a
2016-04-15 02:00:38,318 | INFO  | (BundleInfoLogger:110) - Bundle javax.servlet.jsp-api, id 100, version 2.3.1, build number n/a
2016-04-15 02:00:38,323 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.geronimo.specs.geronimo-jms_1.1_spec, id 101, version 1.1.1, build number n/a
2016-04-15 02:00:38,326 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.servicemix.specs.jsr311-api-1.1.1, id 102, version 2.5.0, build number n/a
2016-04-15 02:00:38,328 | INFO  | (BundleInfoLogger:110) - Bundle functional, id 103, version 1.1.1, build number n/a
2016-04-15 02:00:38,331 | INFO  | (BundleInfoLogger:110) - Bundle com.fasterxml.jackson.core.jackson-core, id 104, version 2.3.2, build number n/a
2016-04-15 02:00:38,333 | INFO  | (BundleInfoLogger:110) - Bundle com.google.guava, id 105, version 18.0.0, build number n/a
2016-04-15 02:00:38,336 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.commons.codec, id 106, version 1.9.0, build number n/a
2016-04-15 02:00:38,338 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.commons.collections, id 107, version 3.2.1, build number n/a
2016-04-15 02:00:38,341 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.commons.fileupload, id 108, version 1.2.1, build number n/a
2016-04-15 02:00:38,343 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.commons.io, id 109, version 2.1.0, build number n/a
2016-04-15 02:00:38,345 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.commons.lang, id 110, version 2.6.0, build number n/a
2016-04-15 02:00:38,348 | INFO  | (BundleInfoLogger:110) - Bundle joda-time, id 111, version 2.7.0, build number n/a
2016-04-15 02:00:38,350 | INFO  | (BundleInfoLogger:110) - Bundle com.springsource.org.aopalliance, id 112, version 1.0.0, build number n/a
2016-04-15 02:00:38,353 | INFO  | (BundleInfoLogger:110) - Bundle com.springsource.org.apache.commons.beanutils, id 113, version 1.7.0, build number n/a
2016-04-15 02:00:38,356 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.commons.compress, id 114, version 1.9.0, build number n/a
2016-04-15 02:00:38,359 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.commons.csv, id 115, version 1.0.0, build number n/a
2016-04-15 02:00:38,361 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.commons.lang3, id 116, version 3.4.0, build number n/a
2016-04-15 02:00:38,363 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.cxf.bundle-jaxrs, id 117, version 2.2.9, build number n/a
2016-04-15 02:00:38,366 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.httpcomponents.httpclient, id 118, version 4.5.0, build number n/a
2016-04-15 02:00:38,368 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.httpcomponents.httpcore, id 119, version 4.4.1, build number n/a
2016-04-15 02:00:38,371 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.neethi, id 120, version 3.0.1, build number n/a
2016-04-15 02:00:38,373 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.servicemix.bundles.bcel, id 121, version 5.2.0.3, build number n/a
2016-04-15 02:00:38,376 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.servicemix.bundles.commons-httpclient, id 122, version 3.1.0.7, build number n/a
2016-04-15 02:00:38,378 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.servicemix.bundles.jakarta-regexp, id 123, version 1.4.0.1, build number n/a
2016-04-15 02:00:38,381 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.servicemix.bundles.quartz, id 124, version 1.8.5.1, build number n/a
2016-04-15 02:00:38,384 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.servicemix.bundles.wsdl4j, id 125, version 1.6.3.1, build number n/a
2016-04-15 02:00:38,387 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.servicemix.bundles.xalan, id 126, version 2.7.2.2, build number n/a
2016-04-15 02:00:38,391 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.servicemix.bundles.xmlbeans, id 127, version 2.6.0.2, build number n/a
2016-04-15 02:00:38,394 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.servicemix.bundles.xmlresolver, id 128, version 1.2.0.1, build number n/a
2016-04-15 02:00:38,397 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.servicemix.bundles.xmlschema, id 129, version 1.4.3.1, build number n/a
2016-04-15 02:00:38,399 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.tika.bundle, id 130, version 1.1.0, build number n/a
2016-04-15 02:00:38,401 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.tika.core, id 131, version 1.1.0, build number n/a
2016-04-15 02:00:38,403 | INFO  | (BundleInfoLogger:110) - Bundle org.codehaus.jettison.jettison, id 132, version 1.3.1, build number n/a
2016-04-15 02:00:38,405 | INFO  | (BundleInfoLogger:110) - Bundle com.springsource.org.jdom, id 133, version 1.0.0, build number n/a
2016-04-15 02:00:38,408 | INFO  | (BundleInfoLogger:110) - Bundle wrap_mvn_org.opencastproject_android-mms_1.0, id 134, version 0.0.0, build number n/a
2016-04-15 02:00:38,410 | INFO  | (BundleInfoLogger:110) - Bundle com.googlecode.json-simple, id 135, version 1.1.1, build number n/a
2016-04-15 02:00:38,413 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.ldap, id 136, version 1.3.1.RELEASE, build number n/a
2016-04-15 02:00:38,415 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.osgi.core, id 137, version 1.2.1, build number n/a
2016-04-15 02:00:38,418 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.osgi.extender, id 138, version 1.2.1, build number n/a
2016-04-15 02:00:38,420 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.osgi.io, id 139, version 1.2.1, build number n/a
2016-04-15 02:00:38,422 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.security.config, id 140, version 3.1.0.RELEASE, build number n/a
2016-04-15 02:00:38,424 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.security.core, id 141, version 3.1.0.RELEASE, build number n/a
2016-04-15 02:00:38,427 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.security.ldap, id 142, version 3.1.0.RELEASE, build number n/a
